dict,dim_id,dim_name,convention_question,candidate_options,evidence,examples,VALUE,confidence,notes
VCP,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 131 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa aMha  ||  n/m-root: agni anka ancu atna,,,
VCP,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 96, nom-A 61, -ar/-R 6",stem-f: akarttf agnidAtf acalaBrAtf  |  nom-A: akiYcanatA akrAntA agastyagItA  |  -ar/R: antar apunar aBiprAtar,,,
VCP,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 13, -yas 15",-vas: ajavas anASvas ayavas ararivas  ||  -yas: aRIyas ativayas advayas aBivayas,,,
SKD,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.007 (M+stop 15 vs homorganic 2176),M: apAMpatiH apAMpittaM asaMKyaH asaMKyAtaM  ||  homorg: aMhriskanDaH akampitaH akiYcanaH akiYcanatA,,,
SKD,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 9, -vat 3, -mat 2",-at: anyat asat Apat  |  -vat: etAvat kurvvat kzetravat  |  -mat: avIcimat gaBastimat,,,
SKD,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 112 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSI aMsa akaM  ||  n/m-root: ana anaH anu ano,,,
SKD,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 13, nom-A 122, -ar/-R 1",stem-f: f kf gf  |  nom-A: akarttA akiYcanatA akrAntA  |  -ar/R: antar,,,
SKD,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 1, -yas 0",-vas: avas  ||  -yas: ,,,
INM,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.028 (M+stop 59 vs homorganic 2076),M: ahaMkAra apakzakzayaMkara apAMgarBa apAMpati  ||  homorg: aBagnaparisaNKyAna aBizyanta acalendra AcAryanandana,,,
INM,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 14, -vat 50, -mat 61",-at: asat bfhat jagat  |  -vat: Atmavat balavat Bagavat  |  -mat: agnimat aMSumat amUrtimat,,,
INM,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 193 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu kiM puMs  ||  n/m-root: aSma agni Ena ambA,,,
INM,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 132, nom-A 68, -ar/-R 4",stem-f: akartf ambikABartf annaBoktf  |  nom-A: amftA anantA anugItA  |  -ar/R: ahar svar,,,
INM,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 30, -yas 2",-vas: BUriSravas Buvas cAruSravas SaNKakumBaSravas  ||  -yas: amUrtarayas Sreyas,,,
VEI,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.072 (M+stop 35 vs homorganic 450),M: atyarAtijAnaMtapi ariMdamasanaSruta ASuMga fRaMcaya  ||  homorg: aNka aNga aNgavErocana aNgArAvakzayaRa,,,
VEI,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 2, -vat 2, -mat 0",-at: jagat vehat  |  -vat: nivat pravat  |  -mat: ,,,
VEI,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 112 (M-form 1+, n/m-form 4+)",M-root: aMSu  ||  n/m-root: anas anAs anu ahan,,,
VEI,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 50, nom-A 15, -ar/-R 3",stem-f: anukzattf astf AsTAtf  |  nom-A: ajyeyatA avaDyatA AtA  |  -ar/R: prAtar vaDar svar,,,
VEI,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 14, -yas 7",-vas: upamaSravas turaSravas dIrGaSravas devaSravas  ||  -yas: apAcyas ayas udIcyas payas,,,
PUI,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.087 (M+stop 169 vs homorganic 1783),M: aMkuSA aMkuSeSvaram aMkola aMcoladvicarAH  ||  homorg: akampana akArAdikzakArAntavarRamUrti agastyakuRqam agnikuRqa,,,
PUI,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 9, -vat 14, -mat 52",-at: arhat jagat pratipat  |  -vat: Atmavat irAvat fRavat  |  -mat: agnimat aMSumat avIcimat,,,
PUI,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 454 (M-form 4+, n/m-form 4+)",M-root: aMbA aMBa aMSa aMSu  ||  n/m-root: agni adma anu anta,,,
PUI,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 10, nom-A 99, -ar/-R 0",stem-f: unnetf DAtf pitf  |  nom-A: agnimAtA ajitA anantA  |  -ar/R: ,,,
PUI,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 10, -yas 0",-vas: ugraSravas uruSravas devaSravas purUravas  ||  -yas: ,,,
BHS,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.123 (M+stop 264 vs homorganic 1886),M: acirayAnasaMprasTita ajitaMjaya awavIsaMBavA aDyASayasaMcodanasUtra  ||  homorg: akaRwaka akampitasAgara akampiya akampya,,,
BHS,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 3, -vat 3, -mat 0",-at: kiyat treviMSat mahat  |  -vat: azwavat uktamuzwivat ettAvat  |  -mat: ,,,
BHS,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 106 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu eyaM naM  ||  n/m-root: agni atma ana anu,,,
BHS,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 5, nom-A 207, -ar/-R 37",stem-f: tAdf duhatf DAtf  |  nom-A: akilAsitA akruDyanatA acirasTitikatA  |  -ar/R: anuDvaMsayitar anuBoktar aparamAtar,,,
BHS,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 1, -yas 0",-vas: trizkftvas  ||  -yas: ,,,
FRI,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.235 (M+stop 231 vs homorganic 751),M: aMk atisaMtuzwa adAMta anaMg  ||  homorg: aMSumant akampa akuRWita akurvant,,,
FRI,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 27, -vat 21, -mat 0",-at: Izat jagat jAgrat  |  -vat: aBItavat udvat tadvat  |  -mat: ,,,
FRI,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 428 (M-form 4+, n/m-form 4+)",M-root: aMk aMSa aMsa AMg  ||  n/m-root: amSu agni an prAn,,,
FRI,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 9, nom-A 61, -ar/-R 176",stem-f: f kf gf  |  nom-A: ajYAnatA aDArmikatA anapatyatA  |  -ar/R: aNgIkar attar adAtar,,,
FRI,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 26, -yas 20",-vas: avas citraSravas tavas pIvas  ||  -yas: ayas aByas paryas nyas,,,
ACC,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.105 (M+stop 390 vs homorganic 3314),M: aMSumadBedasaMgraha agastyasaMpAta agnizwomIyasaMpradAyapadDati agnisaMDAnaprayoga  ||  homorg: akArAdiniGaRwu akulAgamatantra akzayASAnti akzaragumPa,,,
ACC,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 6, -vat 0, -mat 0",-at: AcAryapaYcASat AryApaYcASat kastUritilakapaYcASat  |  -vat:   |  -mat: ,,,
ACC,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 13 (M-form 0+, n/m-form 4+)",M-root:   ||  n/m-root: indu gAnI jona maRi,,,
ACC,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 1, nom-A 130, -ar/-R 0",stem-f: avantiBartf  |  nom-A: agastyagItA agastyasaMhitA agastisaMhitA  |  -ar/R: ,,,
ACC,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 0, -yas 0",-vas:   ||  -yas: ,,,
KRM,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.0 (M+stop 0 vs homorganic 32),M:   ||  homorg: aNka aNga anDa inDI,,,
KRM,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 0, -vat 0, -mat 0",-at:   |  -vat:   |  -mat: ,,,
KRM,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 218 (M-form 1+, n/m-form 4+)",M-root: aMsa  ||  n/m-root: ana ancu anjU anDa,,,
KRM,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 186, nom-A 1, -ar/-R 0",stem-f: f ejf ezf  |  nom-A: SvitA  |  -ar/R: ,,,
KRM,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 0, -yas 0",-vas:   ||  -yas: ,,,
MCI,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.066 (M+stop 34 vs homorganic 478),M: DanaMjaya saMpAti saMpratipattijYa saMpratipattimant  ||  homorg: aNgada aYjana atizaRqa ananta,,,
MCI,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 1, -vat 1, -mat 0",-at: Bavizyat  |  -vat: SAkalAvat  |  -mat: ,,,
MCI,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 46 (M-form 1+, n/m-form 4+)",M-root: apAM  ||  n/m-root: anDa nala nIla maRi,,,
MCI,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 2, nom-A 16, -ar/-R 0",stem-f: kOravyaduhitf piRqaBettf  |  nom-A: jaritA lapitA vinatA  |  -ar/R: ,,,
MCI,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 2, -yas 0",-vas: uccEHSravas pfTuSravas  ||  -yas: ,,,
KNA,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
