year_month,repo,issues_opened,issues_closed,prs_opened,prs_closed,commits,unique_authors
2014-01,COLOGNE,22,1,0,0,1,1
2014-01,DCS,2,0,0,0,1,1
2014-01,MWS,0,0,0,0,2,2
2014-01,SCH,1,0,0,0,6,1
2014-01,VCP,2,0,0,0,5,1
2014-02,COLOGNE,1,0,0,0,0,0
2014-02,PWG,2,0,0,0,0,0
2014-02,VCP,0,0,0,0,1,1
2014-03,COLOGNE,2,1,0,0,0,0
2014-03,SCH,0,0,0,0,1,1
2014-03,VCP,0,0,0,0,2,1
2014-04,COLOGNE,7,3,0,0,0,0
2014-05,COLOGNE,6,1,0,0,0,0
2014-07,ApteES,2,0,0,0,2,1
2014-07,COLOGNE,4,0,0,0,0,0
2014-07,DCS,1,0,0,0,0,0
2014-07,MWS,1,0,0,0,0,0
2014-07,SKD,3,0,0,0,6,1
2014-08,ApteES,1,1,0,0,0,0
2014-08,MW72,1,0,0,0,1,1
2014-08,MWS,2,1,0,0,0,0
2014-08,SKD,0,0,0,0,15,1
2014-09,ApteES,1,0,0,0,0,0
2014-09,COLOGNE,11,8,0,0,0,0
2014-09,CORRECTIONS,0,0,0,0,3,1
2014-09,GRA,1,0,0,0,0,0
2014-09,MCI,1,0,0,0,0,0
2014-09,MW72,1,0,0,0,0,0
2014-09,MWS,9,2,0,0,1,1
2014-09,PWG,6,1,0,0,1,1
2014-09,PWK,7,1,0,0,0,0
2014-09,SCH,3,0,0,0,4,1
2014-09,SKD,1,0,0,0,0,0
2014-09,VCP,2,0,0,0,1,1
2014-10,COLOGNE,7,0,0,0,1,1
2014-10,CORRECTIONS,29,11,0,0,17,2
2014-10,DCS,1,0,0,0,3,1
2014-10,MWS,6,1,0,0,4,2
2014-10,PWG,2,0,0,0,2,1
2014-10,PWK,1,0,0,0,0,0
2014-10,SKD,1,0,0,0,0,0
2014-11,ApteES,1,0,0,0,1,1
2014-11,COLOGNE,3,3,0,0,0,0
2014-11,CORRECTIONS,13,11,0,0,10,2
2014-11,MWS,1,0,0,0,2,2
2014-11,PWG,1,0,0,0,1,1
2014-11,PWK,1,0,0,0,1,1
2014-11,SKD,0,0,0,0,2,1
2014-11,VCP,0,0,0,0,1,1
2014-12,COLOGNE,1,2,0,0,11,1
2014-12,CORRECTIONS,19,16,0,0,11,2
2014-12,MW72,0,1,0,0,0,0
2014-12,WIL,0,0,0,0,5,1
2015-01,ArabicInSanskrit,4,2,0,0,3,1
2015-01,COLOGNE,2,0,0,0,0,0
2015-01,CORRECTIONS,15,5,0,0,10,2
2015-01,GRA,0,0,0,0,1,1
2015-01,MWS,1,0,0,0,0,0
2015-01,PWG,5,1,0,0,1,1
2015-01,WIL,0,0,0,0,2,1
2015-02,ArabicInSanskrit,1,0,0,0,0,0
2015-02,COLOGNE,1,2,0,0,0,0
2015-02,CORRECTIONS,11,6,0,0,10,2
2015-02,PWG,1,0,0,0,1,1
2015-02,WIL,3,0,0,0,11,1
2015-03,CORRECTIONS,7,11,0,0,11,1
2015-03,WIL,0,0,0,0,1,1
2015-03,Wil-YAT,0,0,0,0,6,1
2015-04,ArabicInSanskrit,2,3,0,0,0,0
2015-04,COLOGNE,1,2,0,0,0,0
2015-04,CORRECTIONS,12,13,0,0,19,1
2015-04,GreekInSanskrit,11,3,0,0,1,1
2015-04,MWS,2,0,0,0,1,1
2015-04,PWG,0,4,0,0,0,0
2015-04,VCP,1,0,0,0,0,0
2015-04,Wil-YAT,1,0,0,0,0,0
2015-05,ArabicInSanskrit,0,1,0,0,0,0
2015-05,COLOGNE,1,0,0,0,0,0
2015-05,CORRECTIONS,11,8,0,0,12,1
2015-05,GreekInSanskrit,1,0,0,0,0,0
2015-05,MWS,3,2,0,0,1,1
2015-06,ArabicInSanskrit,1,0,0,0,0,0
2015-06,COLOGNE,3,0,0,0,0,0
2015-06,CORRECTIONS,2,6,0,0,2,1
2015-06,GreekInSanskrit,3,6,0,0,0,0
2015-06,MWS,0,1,0,0,1,1
2015-07,COLOGNE,1,1,0,0,0,0
2015-07,CORRECTIONS,3,0,0,0,4,1
2015-07,MWS,1,0,0,0,0,0
2015-07,PWK,1,0,0,0,0,0
2015-08,ArabicInSanskrit,1,0,0,0,0,0
2015-08,COLOGNE,3,0,0,0,0,0
2015-08,CORRECTIONS,1,0,0,0,4,1
2015-08,GreekInSanskrit,2,1,0,0,0,0
2015-09,COLOGNE,0,1,0,0,2,1
2015-09,CORRECTIONS,2,3,0,0,3,1
2015-09,GreekInSanskrit,0,0,0,0,1,1
2015-09,MWS,0,0,0,0,2,1
2015-09,PWG,1,0,0,0,0,0
2015-10,COLOGNE,3,0,0,0,0,0
2015-10,CORRECTIONS,10,4,0,0,5,2
2015-10,GreekInSanskrit,1,1,0,0,0,0
2015-10,MWS,0,0,0,0,2,1
2015-10,VCP,1,0,0,0,0,0
2015-11,COLOGNE,2,3,0,0,1,1
2015-11,CORRECTIONS,38,28,0,0,58,3
2015-11,MWS,0,0,0,0,1,1
2015-11,PWG,0,1,0,0,0,0
2015-11,PWK,5,2,0,0,15,1
2015-11,hwnorm1,3,0,0,0,17,1
2015-11,sanskrit-lexicon.github.io,0,0,0,0,3,1
2015-12,COLOGNE,3,0,0,0,0,0
2015-12,CORRECTIONS,44,30,0,0,104,2
2015-12,MWS,5,3,0,0,1,1
2015-12,PWK,32,15,0,0,52,2
2015-12,hwnorm1,0,0,0,0,28,1
2015-12,sanskrit-lexicon.github.io,0,0,0,0,14,1
2016-01,ArabicInSanskrit,0,1,0,0,0,0
2016-01,BHS,0,0,0,0,3,1
2016-01,COLOGNE,1,1,0,0,1,1
2016-01,CORRECTIONS,27,35,0,0,45,2
2016-01,GreekInSanskrit,0,1,0,0,0,0
2016-01,MWS,0,1,0,0,0,0
2016-01,PWK,12,18,0,0,29,2
2016-01,VCP,1,0,0,0,9,1
2016-01,VEI,0,0,0,0,6,2
2016-01,sanskrit-lexicon.github.io,0,0,0,0,1,1
2016-02,CORRECTIONS,9,7,0,0,7,1
2016-02,PWK,2,0,0,0,9,1
2016-02,hwnorm1,1,0,0,0,9,2
2016-03,CORRECTIONS,9,4,0,0,8,2
2016-04,CORRECTIONS,31,22,0,0,57,2
2016-04,hwnorm1,0,0,0,0,6,1
2016-05,CORRECTIONS,4,16,0,0,11,1
2016-05,GreekInSanskrit,1,0,0,0,0,0
2016-05,hwnorm1,0,0,0,0,3,1
2016-06,CORRECTIONS,2,5,0,0,14,2
2016-06,PWG,1,0,0,0,0,0
2016-06,PWK,0,1,0,0,0,0
2016-06,WIL,1,1,0,0,7,1
2016-06,hwnorm1,0,0,0,0,3,1
2016-06,sanskrit-lexicon.github.io,0,0,0,0,1,1
2016-07,CORRECTIONS,3,1,0,0,3,1
2016-07,MWS,3,2,0,0,4,1
2016-07,PWG,1,0,0,0,15,2
2016-07,PWK,2,1,0,0,2,2
2016-07,hwnorm1,0,0,0,0,2,1
2016-08,CORRECTIONS,1,1,0,0,5,2
2016-08,PWK,2,0,0,0,3,1
2016-08,hwnorm1,0,0,0,0,2,1
2016-09,COLOGNE,1,0,0,0,0,0
2016-09,CORRECTIONS,3,1,0,0,4,1
2016-09,PWK,1,0,0,0,0,0
2016-09,hwnorm1,1,0,0,0,4,1
2016-10,ApteES,1,0,0,0,3,1
2016-10,COLOGNE,4,1,0,0,0,0
2016-10,CORRECTIONS,11,6,0,0,22,2
2016-10,MW72,1,0,0,0,0,0
2016-10,MWS,0,1,0,0,0,0
2016-10,PWG,1,1,0,0,0,0
2016-10,PWK,1,0,0,0,0,0
2016-10,alternateheadwords,15,0,0,0,66,2
2016-10,hwnorm1,0,0,0,0,6,2
2016-11,ArabicInSanskrit,1,1,0,0,0,0
2016-11,COLOGNE,3,0,0,0,1,1
2016-11,CORRECTIONS,5,1,0,0,3,2
2016-11,MW72,0,1,0,0,4,1
2016-11,WIL,1,1,0,0,0,0
2016-11,alternateheadwords,0,1,0,0,0,0
2016-11,hwnorm1,0,0,0,0,8,2
2016-12,ApteES,1,1,0,0,0,0
2016-12,ArabicInSanskrit,1,0,0,0,0,0
2016-12,CORRECTIONS,7,5,0,0,10,2
2016-12,alternateheadwords,1,1,0,0,0,0
2016-12,hwnorm1,1,0,0,0,1,1
2017-01,COLOGNE,1,0,0,0,0,0
2017-01,CORRECTIONS,5,3,0,0,9,1
2017-01,MWS,1,0,0,0,0,0
2017-01,hwnorm1,0,0,0,0,2,1
2017-02,ArabicInSanskrit,1,0,0,0,0,0
2017-02,COLOGNE,7,2,0,0,0,0
2017-02,CORRECTIONS,3,3,0,0,9,1
2017-02,MWS,2,1,0,0,2,1
2017-02,hwnorm1,2,0,0,0,4,1
2017-03,COLOGNE,4,0,0,0,0,0
2017-03,CORRECTIONS,6,4,0,0,6,2
2017-03,GreekInSanskrit,1,0,0,0,0,0
2017-03,PWG,1,1,0,0,10,1
2017-03,alternateheadwords,1,0,0,0,12,2
2017-03,hwnorm1,1,0,0,0,2,1
2017-04,COLOGNE,24,14,0,0,22,2
2017-04,CORRECTIONS,7,3,0,0,8,1
2017-04,GreekInSanskrit,1,0,0,0,0,0
2017-04,PWG,4,0,0,0,0,0
2017-04,SCH,1,0,0,0,3,1
2017-04,alternateheadwords,3,0,0,0,4,2
2017-04,cologne-stardict,1,0,0,0,70,1
2017-05,ACC,1,0,0,0,1,1
2017-05,COLOGNE,24,8,0,0,2,1
2017-05,CORRECTIONS,8,3,0,0,10,1
2017-05,GreekInSanskrit,1,1,0,0,0,0
2017-05,MW72,1,0,0,0,0,0
2017-05,MWS,1,0,0,0,0,0
2017-05,PWG,0,1,0,0,0,0
2017-05,Wil-YAT,2,0,0,0,0,0
2017-05,alternateheadwords,1,0,0,0,0,0
2017-05,cologne-stardict,0,0,0,0,2,1
2017-05,hwnorm1,1,0,0,0,0,0
2017-06,ACC,3,0,0,0,0,0
2017-06,COLOGNE,6,6,0,0,2,1
2017-06,CORRECTIONS,1,0,0,0,7,1
2017-06,Wil-YAT,2,1,0,0,0,0
2017-06,cologne-stardict,1,0,0,0,3,1
2017-06,hwnorm1,0,0,0,0,1,1
2017-07,ACC,12,6,0,0,0,0
2017-07,COLOGNE,8,10,0,0,0,0
2017-07,CORRECTIONS,1,2,0,0,8,1
2017-07,GreekInSanskrit,1,0,0,0,0,0
2017-07,MWS,2,0,0,0,0,0
2017-07,PWG,1,0,0,0,0,0
2017-07,hwnorm1,0,0,0,0,2,1
2017-08,ACC,2,2,0,0,0,0
2017-08,ApteES,0,0,0,0,1,1
2017-08,ArabicInSanskrit,1,1,0,0,0,0
2017-08,COLOGNE,9,5,0,0,0,0
2017-08,CORRECTIONS,1,0,0,0,8,1
2017-08,GreekInSanskrit,2,3,0,0,0,0
2017-08,alternateheadwords,2,0,0,0,6,1
2017-08,hwnorm1,1,0,0,0,4,1
2017-09,COLOGNE,8,4,0,0,1,1
2017-09,CORRECTIONS,49,34,0,0,8,2
2017-09,MWS,1,0,0,0,0,0
2017-09,alternateheadwords,0,0,0,0,12,1
2017-09,hwnorm1,0,0,0,0,4,1
2017-10,COLOGNE,8,2,0,0,1,1
2017-10,CORRECTIONS,0,0,0,0,6,2
2017-10,GreekInSanskrit,1,0,0,0,0,0
2017-10,MWS,6,0,0,0,0,0
2017-10,SKD,1,0,0,0,0,0
2017-10,hwnorm1,1,0,0,0,6,1
2017-11,COLOGNE,1,0,0,0,1,1
2017-11,CORRECTIONS,4,5,0,0,2,1
2017-11,MWS,10,4,0,0,2,1
2017-11,hwnorm1,0,0,0,0,1,1
2017-12,COLOGNE,5,1,0,0,0,0
2017-12,CORRECTIONS,0,0,0,0,3,1
2017-12,PWG,0,0,0,0,7,1
2017-12,hwnorm1,0,0,0,0,2,1
2018-01,COLOGNE,3,2,0,0,0,0
2018-01,CORRECTIONS,0,1,0,0,4,1
2018-01,MWS,0,0,0,0,1,1
2018-01,PWG,0,0,0,0,2,1
2018-01,hwnorm1,0,0,0,0,1,1
2018-02,COLOGNE,14,14,0,0,0,0
2018-02,CORRECTIONS,0,0,0,0,6,1
2018-03,COLOGNE,4,2,0,0,0,0
2018-03,CORRECTIONS,0,1,0,0,3,1
2018-03,MWS,1,0,0,0,1,1
2018-04,COLOGNE,2,0,0,0,0,0
2018-04,MWS,2,2,0,0,2,1
2018-04,csl-apidev,0,0,0,0,3,1
2018-05,COLOGNE,5,0,0,0,0,0
2018-05,CORRECTIONS,2,1,0,0,0,0
2018-06,COLOGNE,4,2,0,0,0,0
2018-06,CORRECTIONS,1,1,0,0,0,0
2018-06,GRA,0,0,0,0,1,1
2018-07,COLOGNE,2,0,0,0,0,0
2018-07,CORRECTIONS,1,0,0,0,0,0
2018-07,WIL,0,0,0,0,1,1
2018-07,csl-apidev,0,0,0,0,2,1
2018-07,csl-websanlexicon,0,0,0,0,60,1
2018-08,COLOGNE,1,1,0,0,0,0
2018-08,CORRECTIONS,0,0,0,0,2,1
2018-08,MWS,1,0,0,0,0,0
2018-08,PWK,0,0,0,0,2,1
2018-08,csl-apidev,0,0,0,0,11,1
2018-08,csl-homepage,0,0,0,0,3,1
2018-08,csl-websanlexicon,0,0,0,0,3,1
2018-08,rvlinks,0,0,0,0,4,1
2018-08,sanskrit-lexicon.github.io,0,0,0,0,1,1
2018-09,COLOGNE,2,0,0,0,0,0
2018-09,CORRECTIONS,1,0,0,0,5,1
2018-09,WIL,1,0,0,0,1,1
2018-09,csl-apidev,0,0,0,0,7,1
2018-09,csl-websanlexicon,0,0,0,0,5,1
2018-09,sanskrit-fonts,0,0,0,0,2,1
2018-10,GRA,1,0,0,0,0,0
2018-10,GreekInSanskrit,1,0,0,0,0,0
2018-10,MWinflect,19,0,0,0,25,1
2018-10,csl-doc,0,0,0,0,12,1
2018-11,COLOGNE,8,2,0,0,0,0
2018-11,CORRECTIONS,0,0,0,0,2,1
2018-11,MWinflect,11,0,0,0,16,1
2018-11,csl-apidev,0,0,0,0,9,1
2018-11,csl-doc,1,0,0,0,3,1
2018-11,csl-websanlexicon,0,0,0,0,10,1
2018-11,hwnorm1,0,0,0,0,1,1
2018-12,COLOGNE,0,1,0,0,0,0
2018-12,MWinflect,10,0,0,0,20,1
2018-12,csl-apidev,0,0,0,0,2,1
2019-01,COLOGNE,7,10,0,0,0,0
2019-01,CORRECTIONS,4,14,0,0,3,1
2019-01,MWS,3,2,0,0,0,0
2019-01,MWinflect,8,0,0,0,3,1
2019-01,PWG,1,0,0,0,0,0
2019-01,cologne-stardict,14,9,0,0,26,1
2019-01,csl-apidev,0,0,0,0,10,1
2019-01,csl-homepage,0,0,0,0,1,0
2019-01,csl-websanlexicon,0,0,0,0,1,1
2019-01,hwnorm1,0,0,0,0,1,1
2019-02,ApteES,1,0,0,0,0,0
2019-02,COLOGNE,6,0,0,0,2,1
2019-02,CORRECTIONS,2,0,0,0,2,1
2019-02,MWS,4,0,0,0,0,0
2019-02,cologne-stardict,0,0,0,0,19,1
2019-03,ApteES,0,1,0,0,0,0
2019-03,COLOGNE,1,0,0,0,0,0
2019-03,GreekInSanskrit,1,0,0,0,0,0
2019-03,PWG,1,0,0,0,0,0
2019-04,COLOGNE,2,1,0,0,0,0
2019-05,COLOGNE,1,0,0,0,0,0
2019-06,COLOGNE,1,0,0,0,0,0
2019-06,GRA,1,0,0,0,0,0
2019-06,csl-doc,1,0,0,0,8,2
2019-07,COLOGNE,22,8,0,0,0,0
2019-07,CORRECTIONS,9,2,0,0,15,2
2019-07,VCP,1,0,0,0,0,0
2019-07,csl-homepage,0,0,0,0,7,2
2019-07,csl-orig,1,0,0,0,14,1
2019-07,csl-pywork,0,0,0,0,30,2
2019-07,csl-websanlexicon,3,0,0,0,23,2
2019-07,hwnorm1,0,0,0,0,1,1
2019-08,GreekInSanskrit,3,0,0,0,0,0
2019-08,MWS,1,0,0,0,0,0
2019-08,PWG,1,0,0,0,0,0
2019-08,SKD,1,1,0,0,0,0
2019-08,csl-apidev,8,3,0,0,46,1
2019-08,csl-websanlexicon,2,2,0,0,10,1
2019-09,COLOGNE,3,2,0,0,0,0
2019-09,CORRECTIONS,1,0,0,0,0,0
2019-09,GreekInSanskrit,2,0,0,0,0,0
2019-09,MWS,0,1,0,0,0,0
2019-09,csl-apidev,2,0,0,0,2,1
2019-09,csl-homepage,0,0,0,0,2,0
2019-09,csl-orig,2,0,0,0,1,0
2019-09,csl-pywork,3,0,0,0,8,1
2019-09,csl-websanlexicon,1,0,0,0,8,1
2019-09,hwnorm1,1,0,0,0,0,0
2019-10,ArabicInSanskrit,1,0,0,0,0,0
2019-10,GreekInSanskrit,1,5,0,0,0,0
2019-10,csl-apidev,1,0,0,0,5,2
2019-10,csl-homepage,1,0,0,0,1,0
2019-10,csl-orig,1,0,2,2,10,3
2019-10,csl-pywork,8,0,1,1,20,4
2019-10,csl-websanlexicon,2,1,0,0,4,1
2019-11,COLOGNE,2,0,0,0,1,1
2019-11,MWinflect,0,0,0,0,18,1
2019-11,csl-apidev,1,0,0,0,7,2
2019-11,csl-doc,2,1,0,0,1,1
2019-11,csl-homepage,1,0,0,0,6,1
2019-11,csl-inflect,2,0,0,0,6,1
2019-11,csl-kale,0,0,0,0,3,1
2019-11,csl-orig,0,0,0,0,5,1
2019-11,csl-pywork,1,0,0,0,10,1
2019-11,csl-websanlexicon,2,0,0,0,7,1
2019-11,csl-westergaard,0,0,0,0,2,1
2019-11,csl-whitroot,0,0,0,0,3,1
2019-12,COLOGNE,5,0,0,0,0,0
2019-12,GRA,1,0,0,0,0,0
2019-12,MWS,2,0,0,0,0,0
2019-12,csl-apidev,1,0,0,0,24,1
2019-12,csl-corrections,10,7,0,0,49,2
2019-12,csl-inflect,1,0,0,0,18,1
2019-12,csl-orig,85,76,0,0,31,2
2019-12,csl-pywork,1,1,0,0,13,2
2020-01,COLOGNE,6,1,0,0,0,0
2020-01,GRA,1,0,0,0,1,1
2020-01,GreekInSanskrit,0,2,0,0,0,0
2020-01,MWS,0,1,0,0,0,0
2020-01,VCP,1,0,0,0,0,0
2020-01,csl-apidev,1,0,0,0,12,2
2020-01,csl-corrections,2,0,0,0,18,1
2020-01,csl-inflect,0,0,0,0,2,1
2020-01,csl-orig,34,36,0,0,27,1
2020-01,csl-pywork,4,2,0,0,9,1
2020-01,csl-websanlexicon,0,0,0,0,4,1
2020-01,hwnorm1,3,1,0,0,7,1
2020-01,rvlinks,0,0,0,0,4,2
2020-02,COLOGNE,2,0,0,0,0,0
2020-02,GreekInSanskrit,1,0,0,0,0,0
2020-02,PWG,1,0,0,0,1,1
2020-02,SKD,1,0,0,0,2,1
2020-02,csl-apidev,0,0,0,0,10,1
2020-02,csl-corrections,0,0,0,0,4,1
2020-02,csl-orig,31,16,0,0,49,1
2020-02,csl-pywork,0,0,0,0,5,1
2020-02,csl-websanlexicon,0,0,0,0,1,1
2020-02,hwnorm1,0,0,0,0,2,1
2020-02,hwnorm2,3,0,0,0,7,1
2020-03,AP90,3,0,0,0,4,1
2020-03,COLOGNE,1,0,0,0,0,0
2020-03,GRA,5,1,0,0,0,0
2020-03,GreekInSanskrit,0,1,0,0,0,0
2020-03,KRM,3,0,0,0,3,1
2020-03,MWS,1,0,0,0,0,0
2020-03,PWG,1,0,0,0,1,1
2020-03,PWK,1,0,0,0,1,1
2020-03,SKD,1,0,0,0,6,1
2020-03,VCP,1,0,0,0,6,1
2020-03,WIL,4,0,0,0,5,1
2020-03,alternateheadwords,1,0,0,0,0,0
2020-03,csl-apidev,0,0,0,0,1,1
2020-03,csl-corrections,1,0,0,0,12,1
2020-03,csl-orig,28,10,0,0,59,1
2020-03,csl-pywork,0,0,0,0,1,1
2020-03,csl-websanlexicon,2,0,0,0,3,1
2020-03,csl-whitroot,0,0,0,0,1,1
2020-03,sanskrit-lexicon.github.io,0,0,0,0,4,1
2020-04,AP90,0,0,0,0,1,1
2020-04,BEN,1,0,0,0,2,1
2020-04,BUR,1,0,0,0,3,1
2020-04,CAE,1,0,0,0,3,1
2020-04,CCS,1,0,0,0,3,1
2020-04,COLOGNE,1,0,0,0,0,0
2020-04,GRA,1,0,0,0,2,1
2020-04,KRM,0,0,0,0,1,1
2020-04,MD,1,0,0,0,3,1
2020-04,PWG,0,0,0,0,1,1
2020-04,PWK,0,0,0,0,1,1
2020-04,SKD,0,0,0,0,1,1
2020-04,STC,1,0,0,0,2,1
2020-04,VCP,0,0,0,0,1,1
2020-04,WIL,0,0,0,0,1,1
2020-04,csl-corrections,0,0,0,0,3,1
2020-04,csl-inflect,1,0,0,0,5,1
2020-04,csl-orig,12,0,0,0,16,1
2020-04,csl-pywork,0,0,0,0,2,1
2020-05,COLOGNE,1,0,0,0,0,0
2020-05,CORRECTIONS,2,0,0,0,0,0
2020-05,PWG,1,0,0,0,0,0
2020-05,SKD,1,0,0,0,7,1
2020-05,VCP,0,0,0,0,3,1
2020-05,csl-apidev,0,0,0,0,2,1
2020-05,csl-corrections,0,0,0,0,9,1
2020-05,csl-homepage,0,0,0,0,3,1
2020-05,csl-inflect,1,0,0,0,8,1
2020-05,csl-orig,54,52,0,0,22,1
2020-05,csl-pywork,0,0,0,0,6,1
2020-05,csl-websanlexicon,0,0,0,0,2,1
2020-06,MWS,2,0,0,0,1,1
2020-06,WIL,1,0,0,0,1,1
2020-06,cologne-stardict,0,0,0,0,8,1
